time,open,high,low,close,tick_volume,spread,real_volume
2023-02-06 08:00:00,1.07962,1.07974,1.07858,1.07866,13263,5,1989450000
2023-02-06 09:00:00,1.07866,1.07961,1.07794,1.07795,19556,5,2933400000
2023-02-06 10:00:00,1.07795,1.07949,1.07743,1.07845,24836,5,3725400000
2023-02-06 11:00:00,1.07845,1.0788,1.07644,1.07656,23438,5,3515700000
2023-02-06 12:00:00,1.07656,1.07771,1.07592,1.07652,21318,5,3197700000
2023-02-06 13:00:00,1.07652,1.07667,1.0756000000000001,1.07656,17594,5,2639100000
2023-02-06 14:00:00,1.0765500000000001,1.07827,1.07651,1.0772599999999999,19268,5,2890200000
2023-02-06 15:00:00,1.07727,1.07775,1.07565,1.07576,24845,5,3726750000
2023-02-06 16:00:00,1.07576,1.07658,1.07384,1.07436,28520,5,4278000000
2023-02-06 17:00:00,1.07436,1.07471,1.07216,1.07296,29677,5,4451550000
2023-02-06 18:00:00,1.07295,1.0739,1.07167,1.07206,25699,5,3854850000
2023-02-06 19:00:00,1.07206,1.07216,1.07088,1.07125,21760,5,3264000000
2023-02-06 20:00:00,1.07125,1.07259,1.07096,1.07257,17672,5,2650800000
2023-02-06 21:00:00,1.07257,1.07368,1.07228,1.07241,17692,5,2653800000
2023-02-06 22:00:00,1.07241,1.07303,1.07177,1.07288,18554,13,2783100000
2023-02-06 23:00:00,1.07283,1.07294,1.07229,1.07245,7359,19,1103850000
2023-02-07 00:00:00,1.07245,1.07277,1.07203,1.07259,6636,19,995400000
2023-02-07 01:00:00,1.07259,1.07283,1.07227,1.07281,5407,19,811050000
2023-02-07 02:00:00,1.07281,1.07357,1.07276,1.07357,11165,13,1674750000
2023-02-07 03:00:00,1.07359,1.0742,1.0733,1.07407,14322,13,2148300000
2023-02-07 04:00:00,1.07407,1.07411,1.07356,1.07404,12574,13,1886100000
2023-02-07 05:00:00,1.07405,1.0742,1.07354,1.07376,14412,13,2161800000
2023-02-07 06:00:00,1.07376,1.07376,1.07281,1.07323,12041,13,1806150000
2023-02-07 07:00:00,1.07323,1.07414,1.073,1.07397,15279,5,2291850000
2023-02-07 08:00:00,1.07396,1.07434,1.07346,1.07387,17814,5,2672100000
2023-02-07 09:00:00,1.07387,1.07391,1.07224,1.07235,24172,5,3625800000
2023-02-07 10:00:00,1.07235,1.0725500000000001,1.06961,1.07182,31511,5,4726650000
2023-02-07 11:00:00,1.07183,1.07343,1.07101,1.07103,28561,5,4284150000
2023-02-07 12:00:00,1.07103,1.07224,1.0706,1.07129,25510,5,3826500000
2023-02-07 13:00:00,1.07129,1.07175,1.06975,1.07044,26596,5,3989400000
2023-02-07 14:00:00,1.07042,1.07117,1.0701100000000001,1.07047,25962,5,3894300000
2023-02-07 15:00:00,1.07046,1.0706,1.06852,1.06947,29702,5,4455300000
